#,Thermostat,identifier,5.31611E+11,,,,,,,,,,,,,,,,,,,,
#,Thermostat,name,1575 apt C,,,,,,,,,,,,,,,,,,,,
#,Start,date,1/1/2024,,,,,,,,,,,,,,,,,,,,
#,End,date,2/1/2024,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Thermostat AirQualityAccuracy,Thermostat AirQuality,Thermostat VOCppm,Thermostat CO2ppm,Thermostat AirPressure
1/1/2024,0:00:00,heat,compressorHeatStage1On,hold,Home,69.8,69.8,69.3,74,50.3,0,0,270,300,-1,68.3,74,1,4,274,21964,2751,101160
1/1/2024,0:05:00,heat,compressorHeatOff,hold,Home,68,68,69.4,74,50.3,0,0,0,0,-1,68.4,74,1,4,272,21170,2727,101158
1/1/2024,0:10:00,heat,compressorHeatOff,hold,Home,68,68,69.4,73,50.3,0,0,0,0,-0.7,68.7,73,0,4,271,21036,2723,101160
1/1/2024,0:15:00,heat,compressorHeatOff,hold,Home,68,68,69.6,72,50.3,0,0,0,0,-0.7,68.9,72,0,4,279,23736,2799,101157
1/1/2024,0:20:00,heat,compressorHeatOff,hold,Home,68,68,69.7,72,50.3,0,0,0,0,-0.6,69,72,1,4,295,29978,2957,101154
1/1/2024,0:25:00,heat,compressorHeatOff,hold,Home,68,68,69.6,72,50.3,0,0,0,0,-0.5,69,72,0,4,300,32529,3011,101147
1/1/2024,0:30:00,heat,compressorHeatOff,hold,Home,68,68,69.6,72,50.3,0,0,0,0,-0.5,69,72,0,4,296,30690,2972,101144
1/1/2024,0:35:00,heat,compressorHeatOff,hold,Home,68,68,69.8,73,50.3,0,0,0,0,-0.8,69,73,0,4,294,29329,2942,101139
1/1/2024,0:40:00,heat,compressorHeatOff,hold,Home,68,68,69.7,73,50.3,0,0,0,0,-0.8,68.9,73,0,4,290,27964,2911,101137
1/1/2024,0:45:00,heat,compressorHeatOff,hold,Home,68,68,69.5,72,50.3,0,0,0,0,-0.5,69,72,0,4,288,26941,2886,101137
1/1/2024,0:50:00,heat,compressorHeatOff,hold,Home,68,68,69.5,72,50.3,0,0,0,0,-0.5,69,72,0,4,286,26275,2870,101135
1/1/2024,0:55:00,heat,compressorHeatOff,hold,Home,68,68,69.5,72,50.3,0,0,0,0,-0.5,68.9,72,0,4,285,25737,2856,101132
1/1/2024,1:00:00,heat,compressorHeatOff,hold,Home,68,68,69.4,72,48.7,0,0,0,0,-0.6,68.8,72,0,4,283,24914,2835,101132
1/1/2024,1:05:00,heat,compressorHeatOff,hold,Home,68,68,69.4,72,48.7,0,0,0,0,-0.6,68.8,72,0,4,281,24508,2824,101132
1/1/2024,1:10:00,heat,compressorHeatOff,hold,Home,68,68,69.4,72,48.7,0,0,0,0,-0.6,68.8,72,0,4,280,24109,2813,101128
1/1/2024,1:15:00,heat,compressorHeatOff,hold,Home,68,68,69.4,72,48.7,0,0,0,0,-0.6,68.8,72,0,4,279,23655,2800,101132
1/1/2024,1:20:00,heat,compressorHeatOff,hold,Home,68,68,69.3,72,48.7,0,0,0,0,-0.6,68.7,72,1,4,279,23749,2803,101145
1/1/2024,1:25:00,heat,compressorHeatOff,hold,Home,68,68,69.2,72,48.7,0,0,0,0,-0.5,68.6,72,0,4,280,24062,2812,101152
1/1/2024,1:30:00,heat,compressorHeatOff,hold,Home,68,68,69.1,72,48.7,0,0,0,0,-0.5,68.5,72,0,4,279,23721,2802,101154
1/1/2024,1:35:00,heat,compressorHeatOff,hold,Home,68,68,69.2,72,48.7,0,0,0,0,-0.7,68.4,72,0,4,279,23564,2798,101160
1/1/2024,1:40:00,heat,compressorHeatOff,hold,Home,68,68,69.1,72,48.7,0,0,0,0,-0.6,68.4,72,0,4,278,23201,2787,101164
1/1/2024,1:45:00,heat,compressorHeatOff,hold,Home,68,68,69.1,72,48.7,0,0,0,0,-0.7,68.4,72,0,4,277,22956,2780,101158
1/1/2024,1:50:00,heat,compressorHeatOff,hold,Home,68,68,69.1,72,48.7,0,0,0,0,-0.7,68.4,72,0,4,277,23015,2782,101153
1/1/2024,1:55:00,heat,compressorHeatOff,hold,Home,68,68,69.1,72,48.7,0,0,0,0,-0.7,68.4,72,0,4,277,22975,2781,101158
1/1/2024,2:00:00,heat,compressorHeatOff,hold,Home,68,68,69.1,72,48,0,0,0,0,-0.7,68.4,72,0,4,275,22327,2762,101169
1/1/2024,2:05:00,heat,compressorHeatOff,hold,Home,68,68,69.1,72,48,0,0,0,0,-0.6,68.5,72,0,4,275,22413,2764,101175
1/1/2024,2:10:00,heat,compressorHeatOff,hold,Home,68,68,69.1,72,48,0,0,0,0,-0.6,68.5,72,0,4,286,26164,2867,101177
1/1/2024,2:15:00,heat,compressorHeatOff,hold,Home,68,68,69.1,72,48,0,0,0,0,-0.6,68.5,72,0,4,301,33073,3020,101182
