#,Thermostat,identifier,5.22688E+11,,,,,,,,,,,,,,,,,,,,,,,,,
#,Thermostat,name,1575 APT D,,,,,,,,,,,,,,,,,,,,,,,,,
#,Start,date,1/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,
#,End,date,2/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Living Room (F),Living Room2,Main Bedroom 3 (F),Main Bedroom 32,Bedroom 1 (F),Bedroom 12,Kitchen (F),Kitchen2,Bedroom 2 (F),Bedroom 22
1/1/2024,0:00:00,heat,compressorHeatOff,home,Home,74,68,68.2,57,50.3,0,0,0,0,,69.4,57,0,69,0,67.3,0,67.9,0,68.4,0,67.6,0
1/1/2024,0:05:00,heat,compressorHeatOff,home,Home,74,68,68.2,57,50.3,0,0,0,0,,69.4,57,1,68.9,1,67.3,1,67.8,0,68.4,1,67.6,1
1/1/2024,0:10:00,heat,compressorHeatOff,home,Home,73.7,68.3,68.1,58,50.3,0,0,30,30,,69.2,58,1,68.9,1,67.3,1,67.8,0,68.4,1,67.5,1
1/1/2024,0:15:00,heat,compressorHeatStage1On,hold,Home,71,71,68.1,57,50.3,0,0,300,300,,69.1,57,1,68.9,1,67.3,1,67.7,0,68.4,1,67.5,1
1/1/2024,0:20:00,heat,compressorHeatStage1On,hold,Home,71,71,68.9,54,50.3,0,0,300,300,,70.4,54,0,69.6,1,68.1,1,68.2,0,68.8,1,68.2,1
1/1/2024,0:25:00,heat,compressorHeatStage1On,hold,Home,71,71,70.4,54,50.3,0,0,195,240,,71.5,54,0,71,0,69.7,0,69.7,0,70.2,1,70,0
1/1/2024,0:30:00,heat,compressorHeatOff,hold,Home,71,71,71.1,54,50.3,0,0,0,0,,71.9,54,0,71.8,0,70.5,1,70.7,0,71,0,70.9,0
1/1/2024,0:35:00,heat,compressorHeatOff,hold,Home,71,71,71.1,54,50.3,0,0,0,0,,71.4,54,1,71.8,1,70.6,1,70.9,0,71,1,71.1,1
1/1/2024,0:40:00,heat,compressorHeatOff,hold,Home,71,71,70.8,55,50.3,0,0,0,0,,71.2,55,0,71.5,1,70.2,1,70.5,0,70.7,1,70.7,1
1/1/2024,0:45:00,heat,compressorHeatOff,hold,Home,71,71,70.5,56,50.3,0,0,0,0,,71,56,0,71.2,1,69.9,1,70.1,0,70.5,1,70.3,1
1/1/2024,0:50:00,heat,compressorHeatOff,hold,Home,71,71,70.3,55,50.3,0,0,0,0,,70.8,55,0,71,1,69.7,0,69.8,0,70.3,1,69.9,0
1/1/2024,0:55:00,heat,compressorHeatOff,hold,Home,71,71,70.1,55,50.3,0,0,0,0,,70.8,55,0,70.8,1,69.4,0,69.6,0,70.1,1,69.6,0
